蔬菜牛肉饭,时蔬清新爽口，牛肉肉细味鲜美味健康
招牌牛肉饭(大碗),牛肉酥软汁浓，食之软烂醇香回味悠长
招牌牛肉饭(小碗),牛肉酥软汁浓，食之软烂醇香回味悠长
吉味双拼饭,细嫩爽滑，汁浓味厚双拼吃饭不纠结
菌菇牛肉饭（大碗）,香菇清香肥厚，肉质紧实鲜嫩美味可口
咖喱牛肉饭,肥牛酥软汁浓，咖喱果香醇厚珍馐美味
照烧鸡排饭(大碗),鸡排金黄酥脆，秘制酱料入味色味俱佳
照烧鸡排饭(小碗),鸡排金黄酥脆，秘制酱料入味回味无穷
辣白菜猪肉饭（大碗）,地道五花肉，手工秘制辣白菜微辣辛香
什锦蘑菇饭(小碗),时蔬新鲜爽脆，香菇香滑可口素食美味首选
辣白菜猪肉双拼饭,地道五花肉，手工秘制辣白菜多种美味吉食享
什锦蘑菇饭(大碗),时蔬新鲜爽脆，香菇香滑可口素食美味首选
辣白菜猪肉饭（小碗）,地道五花肉，手工秘制辣白菜微辣辛香
菌菇牛肉饭（小碗）,香菇清香肥厚，肉质紧实鲜嫩美味可口
香汁鲐鱼饭,鲐鱼肉质细腻，秘制独特酱料好滋味共分享
牛皿,牛肉酥软汁浓，回味悠长
鸡皿,肉质细嫩，滋味鲜美
猪皿,地道五花肉，微辣鲜香
摇滚沙拉,新鲜时蔬，天生低卡
合茶碗蒸,爽滑可口，齿颊留香
金枪鱼土豆泥,绵软土豆搭配鲜香金枪鱼鲜香四溢
黄瓜,酱香浓郁，脆嫩爽口
泡菜,手工秘制，解腻开胃
可乐(1.25L),汽感十足，畅爽怡神
中杯可乐,汽感十足，畅爽怡神
中杯七喜,冰爽柠檬味，尽在7喜中
七喜(1.25L),冰爽柠檬味，尽在7喜中
冰红茶（杯）,香醇红茶搭配清爽柠檬，冰爽十足
火锅鸡肉,无骨鸡胸肉，肉质细嫩
双人火锅套餐A款,火锅双拼来狂欢！
双人火锅套餐B款,一人独享不如一起分享！
黑椒鸡排特惠餐,好滋味，齐分享
双人鸡排特价餐,好滋味，齐分享
吉享双人餐,好滋味，齐分享
三人分享餐,好滋味，齐分享
3人优惠餐,好滋味，齐分享
6人优惠餐,好滋味，齐分享
10人优惠餐,好滋味，齐分享
香煎芝士蛋吉多士,芝士偶遇煎蛋，口感无限享受
香煎芝士火腿吉多士,香浓芝士与鲜香火腿，清晨香味四溢
香煎芝士培根吉多士,吃货们的热爱，从芝士与培根开始
清晨三人早餐,多款香浓芝士吉多士豆浆入口丝滑，豆香浓郁
活力五人早餐,多款香浓芝士吉多士豆浆入口丝滑，豆香浓郁
咖喱鸡排饭,鸡排金黄酥脆，咖喱果香醇厚满口溢香
润烧东坡饭,精选地道五花肉，酱汁醇厚香甜
板烧猪肉饭（大碗）,精选地道五花肉，板烧肥而不腻
板烧猪肉饭（小碗）,精选地道五花肉，板烧肥而不腻
板烧猪肉双拼饭,板烧五花肉肥而不腻，鸡排金黄酥脆双重美味
QQ肠,脆爽弹牙，鲜香满口
黄金鱿鱼卷,鲜味浓郁，嚼劲十足
海苔鸡肉串,海苔入口即溶，鸡肉细嫩喷香
虾粒鱼味方,虾味鱼味，清爽鲜美
墨鱼贡丸,"肉质剔透,，口感爽脆"
脆骨肉丸,脆骨酥软，肉丸鲜香
吉味海鲜丸,深海味道，口感Q弹
什锦鸡肉串,外酥里嫩，香鲜至极
包心鱼捞,馅料丰富，软嫩滑爽
玉米,软糯绵密，香甜可口
笋尖,口感脆嫩，鲜香爽甜
碳烤芝士肉丸,香浓芝士，碳烤味浓郁
鸡蛋,颗颗温暖，蛋蛋飘香
萝卜,香脆爽口，清甜开胃
海带结,海味十足，柔韧爽滑
魔芋丝,剔透亮泽，Q弹有嚼劲
千叶豆腐,爽滑劲道，微甜鲜美
香菇,肉质肥厚，鲜香爽滑
海带鸡肉包,带柔韧，肉汁四溢
紫菜蛋花汤,海味紫菜，丝滑蛋花
仙桃蜜语,新鲜蜜桃浓缩成汁，果香飘逸
橙汁缤纷,维C丰富，橙味香甜味蕾的阳光浴
焙煎芝麻蘸料,用心好料，浓浓芝麻香
鸡能量套餐（咖喱）,肉质细嫩，滋味鲜美咖喱汤底果香醇厚
鸡能量套餐（浓汤）,肉质细嫩，滋味鲜美汤汁浓郁，美味升级
基础套餐（咖喱）,芝士竹轮浓香Q弹，咖喱汤底果香醇厚
基础套餐（浓汤）,芝士竹轮浓香Q弹，美味一锅享尽
牛哄哄套餐（咖喱）,特切牛肉口感鲜嫩，咖喱汤底果香醇厚
牛哄哄套餐（浓汤）,特切牛肉口感鲜嫩，汤汁浓郁，美味升级
特切牛肉,口感鲜嫩，肥而不腻
米饭,粒粒饱满，软糯香甜
